filename,width,height,class,xmin,ymin,xmax,ymax
fire1-583-_jpg.rf.c3de0ec2ede6e8c2e507dfb404633c4b.jpg,640,640,2,290,124,376,404
WEBFire424_jpg.rf.c3764aef14a735ed35af3bda0a7eddfb.jpg,640,640,2,206,366,428,492
Img_17_jpg.rf.c3350b57090958676b7ee5aa5e880878.jpg,640,640,0,255,133,360,340
MirrorWEBSmoke1882_jpg.rf.c3feb87c35f5e3836a234492ce739095.jpg,640,640,4,8,113,512,367
MirrorWEBSmoke1882_jpg.rf.c3feb87c35f5e3836a234492ce739095.jpg,640,640,2,412,330,636,458
MirrorWEBSmoke1882_jpg.rf.c3feb87c35f5e3836a234492ce739095.jpg,640,640,2,12,402,36,412
MirrorWEBSmoke1882_jpg.rf.c3feb87c35f5e3836a234492ce739095.jpg,640,640,4,156,374,422,460
FireDetectionImage_NoiseWEBFire136_jpg.rf.c407dcfb1d55256b75353adcd641c243.jpg,640,640,2,310,230,334,284
FireDetectionImage_NoiseWEBFire136_jpg.rf.c407dcfb1d55256b75353adcd641c243.jpg,640,640,2,364,302,382,312
FireDetectionImage_NoiseWEBFire136_jpg.rf.c407dcfb1d55256b75353adcd641c243.jpg,640,640,2,274,308,284,318
FireDetectionImage_NoiseWEBFire136_jpg.rf.c407dcfb1d55256b75353adcd641c243.jpg,640,640,2,282,334,370,424
FireDetectionImage_NoiseWEBFire136_jpg.rf.c407dcfb1d55256b75353adcd641c243.jpg,640,640,4,66,106,364,228
Img_1409_jpg.rf.c3d54aeb688c74f87f0b6eb1e5d2978e.jpg,640,640,0,329,405,369,441
635_jpg.rf.c3454f90053fc922d774f33c20001eb8.jpg,640,640,2,68,280,370,476
fire1-310-_jpg.rf.c3ece3ceb4bd372cf36fd0c2a541e1e7.jpg,640,640,2,156,148,518,384
0116_jpg.rf.c45d22b29c2a052a7fe523316ef1cd77.jpg,640,640,2,392,356,444,476
Img_2035_jpg.rf.c3f815da846f94e6c36b8a7a5ad15a9e.jpg,640,640,0,169,202,355,588
fire1-1047-_jpg.rf.c36f6fd01da9203a569502eae8843f37.jpg,640,640,4,190,16,574,360
fire1-1047-_jpg.rf.c36f6fd01da9203a569502eae8843f37.jpg,640,640,4,2,176,174,436
fire1-1047-_jpg.rf.c36f6fd01da9203a569502eae8843f37.jpg,640,640,2,266,364,314,414
fire1-1047-_jpg.rf.c36f6fd01da9203a569502eae8843f37.jpg,640,640,2,178,376,238,424
fire1-1047-_jpg.rf.c36f6fd01da9203a569502eae8843f37.jpg,640,640,2,406,378,462,448
fire1-1047-_jpg.rf.c36f6fd01da9203a569502eae8843f37.jpg,640,640,2,516,390,558,462
ezgif-frame-079_jpg.rf.c334bb60a3c80611b6e49cbaa19e7521.jpg,640,640,3,183,161,271,337
Img_1721_jpg.rf.c377265f2877b3bac4ba6b15d7d1ceff.jpg,640,640,0,200,275,271,361
ck0ounp7qrrb80863c0xidr4j_jpeg_jpg.rf.c425c60f9bf1882742693fb707ae14ad.jpg,640,640,4,406,255,554,325
Img_1883_jpg.rf.c3efe843893f59487ef63c88d0e24e2c.jpg,640,640,0,285,33,395,133
